#Note: Please remove semicolon (;) from your file editor's list of delimiter or separator characters.
#Id,Parent Id,Code,Name,Sizes,Description,Placements,Target Window,Labels,Special Ad Unit
64300133,64299533,community/cosmetic-surgery,cosmetic-surgery,300x250; 320x50; 728x90,No description,,,,no
64306613,64299533,community/crohns-disease,crohns-disease,300x250; 320x50; 728x90,No description,,,,no
64324133,64299533,community/cushings-disease,cushings-disease,300x250; 320x50; 728x90,No description,,,,no
64306733,64299533,community/cystic-fibrosis,cystic-fibrosis,300x250; 320x50; 728x90,No description,,,,no
64324373,64299533,community/debbies-dream-stomach-cancer,debbies-dream-stomach-cancer,300x250; 320x50; 728x90,No description,,,,no
64306853,64299533,community/developmental-disabilities,developmental-disabilities,300x250; 320x50; 728x90,No description,,,,no
64318253,64299533,community/diet-fitness-and-healthy-living,diet-fitness-and-healthy-living,300x250; 320x50; 728x90,No description,,,,no
64306973,64299533,community/digestive-system-disorders,digestive-system-disorders,300x250; 320x50; 728x90,No description,,,,no
64317773,64299533,community/down-syndrome,down-syndrome,300x250; 320x50; 728x90,No description,,,,no
64307093,64299533,community/drug-abuse,drug-abuse,300x250; 320x50; 728x90,No description,,,,no
64307213,64299533,community/dwarfism,dwarfism,300x250; 320x50; 728x90,No description,,,,no
64326293,64299533,community/dysautonomia-support-network,dysautonomia-support-network,300x250; 320x50; 728x90,No description,,,,no
64307333,64299533,community/eating-disorders,eating-disorders,300x250; 320x50; 728x90,No description,,,,no
64321253,64299533,community/ehlers-danlos-national-foundation,ehlers-danlos-national-foundation,300x250; 320x50; 728x90,No description,,,,no
64307453,64299533,community/encephalitis-global,encephalitis-global,300x250; 320x50; 728x90,No description,,,,no
64307573,64299533,community/endocrine-system-disorders,endocrine-system-disorders,300x250; 320x50; 728x90,No description,,,,no
64320413,64299533,community/endometriosis,endometriosis,300x250; 320x50; 728x90,No description,,,,no
64323413,64299533,community/eos-connections,eos-connections,300x250; 320x50; 728x90,No description,,,,no
64307693,64299533,community/eye-infections-and-diseases,eye-infections-and-diseases,300x250; 320x50; 728x90,No description,,,,no
64307813,64299533,community/facial-injuries-and-disorders,facial-injuries-and-disorders,300x250; 320x50; 728x90,No description,,,,no
64300253,64299533,community/fatherhood,fatherhood,300x250; 320x50; 728x90,No description,,,,no
64322213,64299533,community/fibromuscular-dysplasia-society-of-america,fibromuscular-dysplasia-society-of-america,300x250; 320x50; 728x90,No description,,,,no
64319333,64299533,community/fibromyalgia,fibromyalgia,300x250; 320x50; 728x90,No description,,,,no
64306253,64299533,community/fight-colorectal-cancer,fight-colorectal-cancer,300x250; 320x50; 728x90,No description,,,,no
64317893,64299533,community/finding-a-resolution-for-infertility,finding-a-resolution-for-infertility,300x250; 320x50; 728x90,No description,,,,no
64319933,64299533,community/fit-arlington,fit-arlington,300x250; 320x50; 728x90,No description,,,,no
64307933,64299533,community/flu,flu,300x250; 320x50; 728x90,No description,,,,no
64308053,64299533,community/food-borne-diseases,food-borne-diseases,300x250; 320x50; 728x90,No description,,,,no
74875973,64299533,community/freedom-from-smoking,freedom-from-smoking,300x250; 320x50; 728x90,,,,,no
64320533,64299533,community/g-pact-gastroparesis-and-cip,g-pact-gastroparesis-and-cip,300x250; 320x50; 728x90,No description,,,,no
64324013,64299533,community/gaucher-disease,gaucher-disease,300x250; 320x50; 728x90,No description,,,,no
64308173,64299533,community/genetics-and-birth-defects,genetics-and-birth-defects,300x250; 320x50; 728x90,No description,,,,no
86317853,64299533,community/gi-neuroendocrine-tumor-ginet,gi-neuroendocrine-tumor-ginet,300x250; 320x50; 728x90,,,,,no
64308413,64299533,community/head-and-brain-injuries,head-and-brain-injuries,300x250; 320x50; 728x90,No description,,,,no
64308533,64299533,community/head-and-neck-cancer-alliance,head-and-neck-cancer-alliance,300x250; 320x50; 728x90,No description,,,,no
64308653,64299533,community/headaches-and-migraines,headaches-and-migraines,300x250; 320x50; 728x90,No description,,,,no
64300493,64299533,community/health-insurance,health-insurance,300x250; 320x50; 728x90,No description,,,,no
64318373,64299533,community/health-news,health-news,300x250; 320x50; 728x90,No description,,,,no
64308773,64299533,community/heart-bypass-surgery,heart-bypass-surgery,300x250; 320x50; 728x90,No description,,,,no
64309013,64299533,community/hepatitis-c,hepatitis-c,300x250; 320x50; 728x90,No description,,,,no
64300613,64299533,community/herbs-and-supplements,herbs-and-supplements,300x250; 320x50; 728x90,No description,,,,no
64308293,64299533,community/hiv-and-aids,hiv-and-aids,300x250; 320x50; 728x90,No description,,,,no
64300733,64299533,community/homeopathy,homeopathy,300x250; 320x50; 728x90,No description,,,,no
64300853,64299533,community/hospice-care,hospice-care,300x250; 320x50; 728x90,No description,,,,no
64309133,64299533,community/huntingtons-disease,huntingtons-disease,300x250; 320x50; 728x90,No description,,,,no
64303253,64299533,community/ifred-anxiety-and-depression,ifred-anxiety-and-depression,300x250; 320x50; 728x90,No description,,,,no
64300973,64299533,community/infant-health,infant-health,300x250; 320x50; 728x90,No description,,,,no
64325573,64299533,community/insomnia-research,insomnia-research,300x250; 320x50; 728x90,No description,,,,no
53517773,53511653,Inspire_community_300x250,Inspire_community_300x250,300x250,Community-targeted 300x250,Community Leaderboard Rectangle; Community Mobile Leaderboard/Rectangle,_blank,,no
58846973,53511653,Inspire_community_320x50,Inspire_community_320x50,320x50,Community targeted mobile leaderboard,Community Mobile Leaderboard/Rectangle,_blank,,no
53517653,53511653,Inspire_community_728x90,Inspire_community_728x90,728x90,Community-targeted leaderboard.,Community Leaderboard Rectangle,_blank,,no
53644613,53511653,Inspire_community_house_300x250,Inspire_community_house_300x250,300x250,This is for house and partner promotions.,,_blank,,no
56338733,53511653,Inspire_memberhome_300x250,Inspire_memberhome_300x250,300x250,Member homepage medium rectangle,Member Home Leaderboard Rectangle,_blank,,no
56338853,53511653,Inspire_memberhome_728x90,Inspire_memberhome_728x90,728x90,Member homepage leaderboard,Member Home Leaderboard Rectangle,_blank,,no
64324733,64299533,community/interstitial-cystitis-association,interstitial-cystitis-association,300x250; 320x50; 728x90,No description,,,,no
64325693,64299533,community/invisible-disabilities-association,invisible-disabilities-association,300x250; 320x50; 728x90,No description,,,,no
64309253,64299533,community/irritable-bowel-syndrome,irritable-bowel-syndrome,300x250; 320x50; 728x90,No description,,,,no
64309493,64299533,community/kidney-and-urology-foundation,kidney-and-urology-foundation,300x250; 320x50; 728x90,No description,,,,no
64325333,64299533,community/kidney-cancer-association,kidney-cancer-association,300x250; 320x50; 728x90,No description,,,,no
64309613,64299533,community/lactose-intolerance,lactose-intolerance,300x250; 320x50; 728x90,No description,,,,no
64309733,64299533,community/learning-disorders,learning-disorders,300x250; 320x50; 728x90,No description,,,,no
64309853,64299533,community/leukemia-lymphoma-and-myeloma,leukemia-lymphoma-and-myeloma,300x250; 320x50; 728x90,No description,,,,no
64300373,64299533,community/lgbtq-health,lgbtq-health,300x250; 320x50; 728x90,No description,,,,no
64318013,64299533,community/living-after-infertility-resolution,living-after-infertility-resolution,300x250; 320x50; 728x90,No description,,,,no
64318733,64299533,community/living-well-with-cancer,living-well-with-cancer,300x250; 320x50; 728x90,No description,,,,no
74875733,64299533,community/living-with-asthma,living-with-asthma,300x250; 320x50; 728x90,,,,,no
64323053,64299533,community/living-with-pulmonary-fibrosis,living-with-pulmonary-fibrosis,300x250; 320x50; 728x90,No description,,,,no
64317293,64299533,community/lombardi-childrens-cancer,lombardi-childrens-cancer,300x250; 320x50; 728x90,No description,,,,no
64325813,64299533,community/lung-cancer-research,lung-cancer-research,300x250; 320x50; 728x90,No description,,,,no
64326053,64299533,community/lung-neuroendocrine-tumor-lungnet,lung-neuroendocrine-tumor-lungnet,300x250; 320x50; 728x90,No description,,,,no
64310213,64299533,community/lupus,lupus,300x250; 320x50; 728x90,No description,,,,no
64310333,64299533,community/lymphatic-diseases,lymphatic-diseases,300x250; 320x50; 728x90,No description,,,,no
64322573,64299533,community/lymphoma-research-foundation,lymphoma-research-foundation,300x250; 320x50; 728x90,No description,,,,no
64318613,64299533,community/lysosomal-diseases,lysosomal-diseases,300x250; 320x50; 728x90,No description,,,,no
64301093,64299533,community/massage,massage,300x250; 320x50; 728x90,No description,,,,no
64324493,64299533,community/melanoma,melanoma,300x250; 320x50; 728x90,No description,,,,no
64299413,64299293,non-community/member-or-non-member,member-or-non-member,300x250; 728x90,No description,,,,no
64308893,64299533,community/mended-hearts-heart-disease,mended-hearts-heart-disease,300x250; 320x50; 728x90,No description,,,,no
64310573,64299533,community/meningitis-and-encephalitis,meningitis-and-encephalitis,300x250; 320x50; 728x90,No description,,,,no
64310453,64299533,community/mens-health,mens-health,300x250; 320x50; 728x90,No description,,,,no
64320053,64299533,community/mental-health-america,mental-health-america,300x250; 320x50; 728x90,No description,,,,no
64317413,64299533,community/meridian-health-multiple-sclerosis,meridian-health-multiple-sclerosis,300x250; 320x50; 728x90,No description,,,,no
64310813,64299533,community/metabolic-disorders,metabolic-disorders,300x250; 320x50; 728x90,No description,,,,no
64301213,64299533,community/motherhood,motherhood,300x250; 320x50; 728x90,No description,,,,no
64310933,64299533,community/movement-disorders,movement-disorders,300x250; 320x50; 728x90,No description,,,,no
64321973,64299533,community/ms-research-community-01,ms-research-community-01,300x250; 320x50; 728x90,No description,,,,no
64325093,64299533,community/multiple-myeloma,multiple-myeloma,300x250; 320x50; 728x90,No description,,,,no
64320173,64299533,community/multiple-sclerosis,multiple-sclerosis,300x250; 320x50; 728x90,No description,,,,no
64311053,64299533,community/muscular-dystrophy,muscular-dystrophy,300x250; 320x50; 728x90,No description,,,,no
64316093,64299533,community/my-child-without-limits,my-child-without-limits,300x250; 320x50; 728x90,No description,,,,no
64321493,64299533,community/national-adrenal-diseases-foundation,national-adrenal-diseases-foundation,300x250; 320x50; 728x90,No description,,,,no
64325933,64299533,community/national-blood-clot-alliance,national-blood-clot-alliance,300x250; 320x50; 728x90,No description,,,,no
64311173,64299533,community/national-cervical-cancer-coalition,national-cervical-cancer-coalition,300x250; 320x50; 728x90,No description,,,,no
64321613,64299533,community/national-eczema-association,national-eczema-association,300x250; 320x50; 728x90,No description,,,,no
64319453,64299533,community/national-fabry-disease-foundation,national-fabry-disease-foundation,300x250; 320x50; 728x90,No description,,,,no
64323773,64299533,community/national-lymphedema-network,national-lymphedema-network,300x250; 320x50; 728x90,No description,,,,no
64311293,64299533,community/national-osteoporosis-foundation,national-osteoporosis-foundation,300x250; 320x50; 728x90,No description,,,,no
64311413,64299533,community/nephrotic-syndrome-and-fsgs,nephrotic-syndrome-and-fsgs,300x250; 320x50; 728x90,No description,,,,no
64311533,64299533,community/nerve-diseases,nerve-diseases,300x250; 320x50; 728x90,No description,,,,no
64316213,64299533,community/neurofibromatosis-network,neurofibromatosis-network,300x250; 320x50; 728x90,No description,,,,no
64311653,64299533,community/neurological-disorders,neurological-disorders,300x250; 320x50; 728x90,No description,,,,no
64320653,64299533,community/nicu,nicu,300x250; 320x50; 728x90,No description,,,,no
64299293,53511653,non-community,non-community,300x250; 728x90,No description,,,,no
64301333,64299533,community/nutritional-supplements,nutritional-supplements,300x250; 320x50; 728x90,No description,,,,no
64311773,64299533,community/oley-foundation,oley-foundation,300x250; 320x50; 728x90,No description,,,,no
64311893,64299533,community/oral-health,oral-health,300x250; 320x50; 728x90,No description,,,,no
64316693,64299533,community/organic-acidemia-association,organic-acidemia-association,300x250; 320x50; 728x90,No description,,,,no
64320893,64299533,community/ostomy,ostomy,300x250; 320x50; 728x90,No description,,,,no
74863973,64299533,community/ovarian-cancer,ovarian-cancer,300x250; 320x50; 728x90,,,,,no
64323653,64299533,community/pancreatic-neuroendocrine-tumor-pnet,pancreatic-neuroendocrine-tumor-pnet,300x250; 320x50; 728x90,No description,,,,no
91408013,64299533,community/pancreatitis,pancreatitis,300x250; 320x50; 728x90,,,,,no
64312133,64299533,community/paralysis-resource-center,paralysis-resource-center,300x250; 320x50; 728x90,No description,,,,no
64312253,64299533,community/parasitic-diseases,parasitic-diseases,300x250; 320x50; 728x90,No description,,,,no
64301453,64299533,community/parents-of-children-with-disabilities,parents-of-children-with-disabilities,300x250; 320x50; 728x90,No description,,,,no
64312373,64299533,community/parkinsons-disease,parkinsons-disease,300x250; 320x50; 728x90,No description,,,,no
64324613,64299533,community/pcdh19-alliance,pcdh19-alliance,300x250; 320x50; 728x90,No description,,,,no
64318493,64299533,community/pediatric-palliative-care,pediatric-palliative-care,300x250; 320x50; 728x90,No description,,,,no
64322933,64299533,community/peyronies-disease,peyronies-disease,300x250; 320x50; 728x90,No description,,,,no
64312493,64299533,community/preemie,preemie,300x250; 320x50; 728x90,No description,,,,no
64318133,64299533,community/pregnancy-and-parenting,pregnancy-and-parenting,300x250; 320x50; 728x90,No description,,,,no
64312733,64299533,community/prostate-diseases,prostate-diseases,300x250; 320x50; 728x90,No description,,,,no
64324973,64299533,community/psoriasis-and-psoriatic-arthritis-research,psoriasis-and-psoriatic-arthritis-research,300x250; 320x50; 728x90,No description,,,,no
64324253,64299533,community/pulmonary-arterial-hypertension-pah,pulmonary-arterial-hypertension-pah,300x250; 320x50; 728x90,No description,,,,no
64312973,64299533,community/rare-disease-and-genetic-conditions,rare-disease-and-genetic-conditions,300x250; 320x50; 728x90,No description,,,,no
64301573,64299533,community/recipe-sharing,recipe-sharing,300x250; 320x50; 728x90,No description,,,,no
64301693,64299533,community/reconstructive-surgery,reconstructive-surgery,300x250; 320x50; 728x90,No description,,,,no
64310693,64299533,community/red-hot-mamas-menopause,red-hot-mamas-menopause,300x250; 320x50; 728x90,No description,,,,no
91408253,64299533,community/retinal-blindness,retinal-blindness,300x250; 320x50; 728x90,,,,,no
64301813,64299533,community/running,running,300x250; 320x50; 728x90,No description,,,,no
64305173,64299533,community/sads-foundation,sads-foundation,300x250; 320x50; 728x90,No description,,,,no
64313093,64299533,community/salivary-gland-disorders,salivary-gland-disorders,300x250; 320x50; 728x90,No description,,,,no
64319573,64299533,community/sarcopenia,sarcopenia,300x250; 320x50; 728x90,No description,,,,no
64318973,64299533,community/scleroderma-foundation,scleroderma-foundation,300x250; 320x50; 728x90,No description,,,,no
64313213,64299533,community/seizures,seizures,300x250; 320x50; 728x90,No description,,,,no
64313333,64299533,community/senior-health,senior-health,300x250; 320x50; 728x90,No description,,,,no
64321853,64299533,community/short-bowel-syndrome-foundation,short-bowel-syndrome-foundation,300x250; 320x50; 728x90,No description,,,,no
64313573,64299533,community/sickle-cell-anemia,sickle-cell-anemia,300x250; 320x50; 728x90,No description,,,,no
66651413,64299653,community/acupuncture/sidebar,sidebar,300x250,No description,,,,yes
66655973,64304213,community/bladder-diseases/sidebar,sidebar,300x250,No description,,,,yes
66651293,64299533,community/sidebar,sidebar,300x250,No description,,,,yes
66652733,64300973,community/infant-health/sidebar,sidebar,300x250,No description,,,,yes
66657173,64305413,community/cancer-treatment/sidebar,sidebar,300x250,No description,,,,yes
66657053,64305293,community/cancer/sidebar,sidebar,300x250,No description,,,,yes
66656933,64305173,community/sads-foundation/sidebar,sidebar,300x250,No description,,,,yes
66656813,64305053,community/bug-borne-diseases/sidebar,sidebar,300x250,No description,,,,yes
66656693,64304933,community/breast-cancer/sidebar,sidebar,300x250,No description,,,,yes
66656573,64304813,community/american-brain-tumor-association/sidebar,sidebar,300x250,No description,,,,yes
66656453,64304693,community/brain-and-nervous-system/sidebar,sidebar,300x250,No description,,,,yes
66656333,64304573,community/bones-joints-and-muscles/sidebar,sidebar,300x250,No description,,,,yes
66656213,64304453,community/blood-pressure/sidebar,sidebar,300x250,No description,,,,yes
66656093,64304333,community/blood-and-lymphatic-disorders/sidebar,sidebar,300x250,No description,,,,yes
66651533,64299773,community/alternative-therapies/sidebar,sidebar,300x250,No description,,,,yes
66651653,64299893,community/bereavement/sidebar,sidebar,300x250,No description,,,,yes
66651773,64300013,community/childrens-health/sidebar,sidebar,300x250,No description,,,,yes
66651893,64300133,community/cosmetic-surgery/sidebar,sidebar,300x250,No description,,,,yes
66652013,64300253,community/fatherhood/sidebar,sidebar,300x250,No description,,,,yes
66652133,64300373,community/lgbtq-health/sidebar,sidebar,300x250,No description,,,,yes
66652253,64300493,community/health-insurance/sidebar,sidebar,300x250,No description,,,,yes
66652373,64300613,community/herbs-and-supplements/sidebar,sidebar,300x250,No description,,,,yes
66652493,64300733,community/homeopathy/sidebar,sidebar,300x250,No description,,,,yes
66652613,64300853,community/hospice-care/sidebar,sidebar,300x250,No description,,,,yes
66663173,64311413,community/nephrotic-syndrome-and-fsgs/sidebar,sidebar,300x250,No description,,,,yes
66652853,64301093,community/massage/sidebar,sidebar,300x250,No description,,,,yes
66652973,64301213,community/motherhood/sidebar,sidebar,300x250,No description,,,,yes
66673493,64321733,community/continence/sidebar,sidebar,300x250,No description,,,,yes
66653093,64301333,community/nutritional-supplements/sidebar,sidebar,300x250,No description,,,,yes
66655733,64303973,community/birth-control-and-contraceptives/sidebar,sidebar,300x250,No description,,,,yes
66673613,64321853,community/short-bowel-syndrome-foundation/sidebar,sidebar,300x250,No description,,,,yes
66673733,64321973,community/ms-research-community-01/sidebar,sidebar,300x250,No description,,,,yes
66673853,64322093,community/viral-hepatitis/sidebar,sidebar,300x250,No description,,,,yes
66673973,64322213,community/fibromuscular-dysplasia-society-of-america/sidebar,sidebar,300x250,No description,,,,yes
66674093,64322333,community/american-lung-association-copd/sidebar,sidebar,300x250,No description,,,,yes
66674213,64322453,community/abuse-survivors/sidebar,sidebar,300x250,No description,,,,yes
66674333,64322573,community/lymphoma-research-foundation/sidebar,sidebar,300x250,No description,,,,yes
66674453,64322693,community/stop-caid-now/sidebar,sidebar,300x250,No description,,,,yes
66674573,64322813,community/cerebral-aneurysm/sidebar,sidebar,300x250,No description,,,,yes
66674693,64322933,community/peyronies-disease/sidebar,sidebar,300x250,No description,,,,yes
66674813,64323053,community/living-with-pulmonary-fibrosis/sidebar,sidebar,300x250,No description,,,,yes
66674933,64323173,community/caring-for-pulmonary-fibrosis/sidebar,sidebar,300x250,No description,,,,yes
66675053,64323293,community/cloves-syndrome-community/sidebar,sidebar,300x250,No description,,,,yes
66675173,64323413,community/eos-connections/sidebar,sidebar,300x250,No description,,,,yes
66655853,64304093,community/bladder-cancer-advocacy-network/sidebar,sidebar,300x250,No description,,,,yes
66654293,64302533,community/als-association/sidebar,sidebar,300x250,No description,,,,yes
66654413,64302653,community/abortion/sidebar,sidebar,300x250,No description,,,,yes
66654533,64302773,community/type-2-diabetes/sidebar,sidebar,300x250,No description,,,,yes
66654653,64302893,community/alcohol-abuse/sidebar,sidebar,300x250,No description,,,,yes
66654773,64303013,community/ovarian-cancer-national-alliance/sidebar,sidebar,300x250,No description,,,,yes
66654893,64303133,community/alzheimers-foundation-of-america/sidebar,sidebar,300x250,No description,,,,yes
66655013,64303253,community/ifred-anxiety-and-depression/sidebar,sidebar,300x250,No description,,,,yes
66655133,64303373,community/arthritis-foundation/sidebar,sidebar,300x250,No description,,,,yes
66655253,64303493,community/asthma-and-allergy-foundation-of-america/sidebar,sidebar,300x250,No description,,,,yes
66655373,64303613,community/center-for-autism-and-related-disorders/sidebar,sidebar,300x250,No description,,,,yes
66655493,64303733,community/autoimmune-diseases/sidebar,sidebar,300x250,No description,,,,yes
66655613,64303853,community/bacterial-infections/sidebar,sidebar,300x250,No description,,,,yes
66654173,64302413,community/als/sidebar,sidebar,300x250,No description,,,,yes
66658373,64306613,community/crohns-disease/sidebar,sidebar,300x250,No description,,,,yes
